title,paragraphs
What should pet owners do if they are put in isolation at home?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
"Can the coronavirus be transmitted via door handles, mobile phones or other everyday objects?","['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
What surfaces can the coronavirus attach itself to? And how long does it remain infectious?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Can I still give blood?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Can the coronavirus be passed on through the blood?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
Am I at especially high risk of becoming seriously ill with COVID-19 if I’m pregnant?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
I’m pregnant and have questions about the coronavirus. Who should I contact?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
I’ve contracted the coronavirus and am expecting a child. Is my baby at risk?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
I’m pregnant and have been in contact with someone infected with the coronavirus. What should I do?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
I’m pregnant and am in a high-risk group as I have an underlying medical condition. What should I do?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
I’m pregnant and infected with the new coronavirus and the baby is due. What should I do?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
I’m pregnant and still going to work. Does that pose a threat to me and my unborn child?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
What are the symptoms of coronavirus disease?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
I have a high temperature and a cough. What should I do?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
What should I do if I’ve been in contact with a person displaying coronavirus symptoms?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
How is an infection with the new coronavirus detected?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
What treatment is there for the new coronavirus disease?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
Can COVID-19 (new coronavirus disease) be treated with antibiotics?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
Is there a connection between Ibuprofen and COVID-19?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
"What is ’self-isolation’, and what does it involve for me?","['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
"What is quarantine, and what do I have to bear in mind?","['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
Should I wear a hygienic mask?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
How can the new coronavirus be rendered harmless?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
How can the coronavirus be removed from surfaces or laundry?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Does a private meal with friends count as a prohibited event?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Can I still meet up with my friends?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Are children still allowed to meet up with friends to play?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
" Can I still go to a concert, the theatre, a party or an open day?","['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 We are organising a demonstration – it that still ok?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Can I go to a place of worship?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Can I organise an Annual General Meeting or attend one?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Can I still take my driving lessons?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Are taxi firms and other private transport services also covered by the ban?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Establishments providing personal services involving physical contact have to close. Which businesses are affected and which aren’t?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 What is the situation regarding stores that also stock products other than everyday items? Do sections containing non-essential items have to be blocked off?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Can bakeries and butchers also stay open?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 Are commercial enterprises covered by the ban?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 What are the rules for construction sites?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
" Are internal meetings allowed? If so, under what conditions?","['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
 What rules apply to the hospitality and catering industry?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.\xa0']"
What is Novel Coronavirus,"['A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.\n\nA diagnosis with coronavirus 229E, NL63, OC43, or HKU1 is not the same as a COVID-19 diagnosis. Patients with COVID-19 will be evaluated and cared for differently than patients with common coronavirus diagnosis.']"
"Why is disease called coronavirus diease 2019, COVID - 2019","['On February 11, 2020 the World Health Organization announced an official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”.\nThere are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused be a novel (or new) coronavirus that has not previously been seen in humans. The name of this disease was selected following the World Health Organization (WHO) best practice\nexternal icon\n for naming of new human infectious diseases.']"
Can CoVID-19 be caught from a person who has no symptoms? ,"['The main way the disease spreads is through respiratory droplets\nexpelled by someone who is coughing. The risk of catching COVID-19\nfrom someone with no symptoms at all is very low. However, many\npeople with COVID-19 experience only mild symptoms. This is\nparticularly true at the early stages of the disease. It is therefore\npossible to catch COVID-19 from someone who has, for example, just\na mild cough and does not feel ill. ']"
Can I catch COVID-19 from the feces of someone with the disease?,"['The risk of catching COVID-19 from the feces of an infected person\nappears to be low. While initial investigations suggest the virus may\nbe present in feces in some cases, spread through this route is not a \nmain feature of the outbreak. The ongoing research on the ways\nCOVID-19 is spread and will continue to share new findings. Because\nthis is a risk, however, it is another reason to clean hands regularly,\nafter using the bathroom and before eating. ']"
What can I do to protect myself and prevent the spread of disease,"['Protection measures for everyone Stay aware of the latest information on the COVID-19 outbreak, available on the national,state and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news.']"
"Protection measures for persons who are in or have recently visited (past
14 days) areas where COVID-19 is spreading ","['Follow the guidance outlined above (Protection measures for\neveryone)\no Self-isolate by staying at home if you begin to feel unwell, even\nwith mild symptoms such as headache, low grade fever (37.3 C\nor above) and slight runny nose, until you recover. If it is\nessential for you to have someone bring you supplies or to go\nout, e.g. to buy food, then wear a mask to avoid infecting other\npeople.\nWhy? Avoiding contact with others and visits to medical facilities\nwill allow these facilities to operate more effectively and help\nprotect you and others from possible COVID-19 and other\nviruses. ']"
How likely am I to catch COVID-19?,"['The risk depends on where you are - and more specifically, whether\nthere is a COVID-19 outbreak unfolding there.\nFor most people in most locations the risk of catching COVID-19 is\nstill low. However, there are now places around the world (cities or\nareas) where the disease is spreading. For people living in, or visiting,\nthese areas the risk of catching COVID-19 is higher. Governments\nand health authorities are taking vigorous action every time a new\ncase of COVID-19 is identified. Be sure to comply with any local\nrestrictions on travel, movement or large gatherings. Cooperating with\ndisease control efforts will reduce your risk of catching or spreading\nCOVID-19.']"
Should I worry about COVID-19?,"['Illness due to COVID-19 infection is generally mild, especially for\nchildren and young adults. However, it can cause serious illness:\nabout 1 in every 5 people who catch it need hospital care. It is\ntherefore quite normal for people to worry about how the COVID-19\noutbreak will affect them and their loved ones.\nWe can channel our concerns into actions to protect ourselves, our\nloved ones and our communities. First and foremost among these\nactions is regular and thorough hand-washing and good respiratory\nhygiene. Secondly, keep informed and follow the advice of the local\nhealth authorities including any restrictions put in place on travel,\nmovement and gatherings. ']"
Who is at risk of developing severe illness,"['While we are still learning about how COVID-2019 affects people,\nolder persons and persons with pre-existing medical conditions (such\nas high blood pressure, heart disease, lung disease, cancer or\ndiabetes) appear to develop serious illness more often than others']"
Are antibiotics effective in preventing or treating the COVID-19?,"['No. Antibiotics do not work against viruses, they only work on\nbacterial infections. COVID-19 is caused by a virus, so antibiotics do\nnot work. Antibiotics should not be used as a means of prevention or\ntreatment of COVID-19. They should only be used as directed by a\nphysician to treat a bacterial infection. ']"
"Are there any medicines or therapies that can prevent or cure
COVID-19","['While some western, traditional or home remedies may provide\ncomfort and alleviate symptoms of COVID-19, there is no evidence\nthat current medicine can prevent or cure the disease. We does not\nrecommend self-medication with any medicines, including antibiotics,\nas a prevention or cure for COVID-19. However, there are several\nongoing clinical trials that include both western and traditional\nmedicines. We will continue to provide updated information as soon\nas clinical findings are available. ']"
Is there a vaccine drug or treatment for COVID-19,"['Not yet. To date, there is no vaccine and no specific antiviral medicine\nto prevent or treat COVID-2019. However, those affected should\nreceive care to relieve symptoms. People with serious illness should\nbe hospitalized. Most patients recover thanks to supportive care. ']"
Is COVID-19 the same as SARS?,"['No. The virus that causes COVID-19 and the one that caused the\noutbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are\nrelated to each other genetically, but the diseases they cause are\nquite different']"
Should I wear mask to protect myself,"['Only wear a mask if you are ill with COVID-19 symptoms (especially\ncoughing) or looking after someone who may have COVID-19.\nDisposable face mask can only be used once. If you are not ill or\nlooking after someone who is ill then you are wasting a mask. There is\na world-wide shortage of masks, so We urge people to use masks\nwisely. ']"
How to put on use take off and dispose of a mask?,"['1. Remember, a mask should only be used by health workers, care takers,\nand individuals with respiratory symptoms, such as fever and cough.\n2. Before touching the mask, clean hands with an alcohol-based\nhand rub or soap and water\n3. Take the mask and inspect it for tears or holes.\n4. Orient which side is the top side (where the metal strip is).\n5. Ensure the proper side of the mask faces outwards (the\ncoloured side).\n6. Place the mask to your face. Pinch the metal strip or stiff edge of\nthe mask so it moulds to the shape of your nose.\n7. Pull down the mask’s bottom so it covers your mouth and your\nchin.\n8. After use, take off the mask; remove the elastic loops from\nbehind the ears while keeping the mask away from your face\nand clothes, to avoid touching potentially contaminated surfaces\nof the mask.\n9. Discard the mask in a closed bin immediately after use.\n10. Perform hand hygiene after touching or discarding the\nmask – Use alcohol-based hand rub or, if visibly soiled, wash\nyour hands with soap and water. ']"
How long is the incubation period for COVID-19?,"['The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.']"
Can humans become infected with the COVID-19 from an animal source?,"['Coronaviruses are a large family of viruses that are common in\nanimals. Occasionally, people get infected with these viruses which \nmay then spread to other people. For example, SARS-CoV was\nassociated with civet cats and MERS-CoV is transmitted by\ndromedary camels. Possible animal sources of COVID-19 have not\nyet been confirmed. ']"
Can I catch COVID-19 from my pet?,"['While there has been one instance of a dog being infected in Hong\nKong, to date, there is no evidence that a dog, cat or any pet can\ntransmit COVID-19. COVID-19 is mainly spread through droplets\nproduced when an infected person coughs, sneezes, or speaks. To\nprotect yourself, clean your hands frequently and thoroughly.\nWe continues to monitor the latest research on this and other COVID19 topics and will update as new findings are available. ']"
How long does the virus survive on surfaces?,"['It is not certain how long the virus that causes COVID-19 survives on\nsurfaces, but it seems to behave like other corona viruses. Studies\nsuggest that corona viruses (including preliminary information on the\nCOVID-19 virus) may persist on surfaces for a few hours or up to\nseveral days. This may vary under different conditions (e.g. type of\nsurface, temperature or humidity of the environment). ']"
Is it safe to receive a package from any area where COVID-19 has been reported?,"['Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.']"
Is there anything I should not do?,"['The following measures ARE NOT effective against COVID-2019 and\ncan be harmful:\n• Smoking\n• Wearing multiple masks\n• Taking antibiotics (See question 10 ""Are there any medicines of\ntherapies that can prevent or cure COVID-19?"") ']"
Is this virus comparable to SARS or to the seasonal flu?,"['The novel coronavirus detected in China in 2019 is closely related genetically to the SARS-CoV-1 virus. SARS emerged at the end of 2002 in China, and it caused more than 8 000 cases in 33 countries over a period of eight months. Around one in ten of the people who developed SARS died.\n\nAs of 30 March 2020, the COVID-19 outbreak had caused over 700 000 cases worldwide since the first case was reported in China in January 2020. Of these, more than 30 000 are known to have died. \n\nSee the situation updates for the latest available information.']"
 What is the mode of transmission? How (easily) does it spread?,"['While animals are believed to be the original source, the virus spread is now from person to person (human-to-human transmission). There is not enough epidemiological information at this time to determine how easily this virus spreads between people, but it is currently estimated that, on average, one infected person will infect between two and three other people. \n\nThe virus seems to be transmitted mainly via small respiratory droplets through sneezing, coughing, or when people interact with each other for some time in close proximity (usually less than one metre). These droplets can then be inhaled, or they can land on surfaces that others may come into contact with, who can then get infected when they touch their nose, mouth or eyes. The virus can survive on different surfaces from several hours (copper, cardboard) up to a few days (plastic and stainless steel). However, the amount of viable virus declines over time and may not always be present in sufficient numbers to cause infection.']"
When is a person infectious?,"['The infectious period may begin one to two days before symptoms appear, but people are likely most infectious during the symptomatic period, even if symptoms are mild and very non-specific. The infectious period is now estimated to last for 7-12 days in moderate cases and up to two weeks on average in severe cases.']"
How severe is COVID-19 infection? ,"['Preliminary data from the EU/EEA (from the countries with available data) show that around 20-30% of diagnosed COVID-19 cases are hospitalised and 4% have severe illness. Hospitalisation rates are higher for those aged 60 years and above, and for those with other underlying health conditions.']"
What are the symptoms of COVID-19 infection,"['Symptoms of COVID-19 vary in severity from having no symptoms at all (being asymptomatic) to having fever, cough, sore throat, general weakness and fatigue and muscular pain and in the most severe cases, severe pneumonia, acute respiratory distress syndrome, sepsis and septic shock, all potentially leading to death. Reports show that clinical deterioration can occur rapidly, often during the second week of disease.\n\nRecently, anosmia – loss of the sense of smell – (and in some cases the loss of the sense of taste) have been reported as a symptom of a COVID-19 infection. There is already evidence from South Korea, China and Italy that patients with confirmed SARS-CoV-2 infection have developed anosmia/hyposmia, in some cases in the absence of any other symptoms.']"
Are some people more at risk than others?,"['Elderly people above 70 years of age and those with underlying health conditions (e.g. hypertension, diabetes, cardiovascular disease, chronic respiratory disease and cancer) are considered to be more at risk of developing severe symptoms. Men in these groups also appear to be at a slightly higher risk than females.']"
Are children also at risk of infection and what is their potential role in transmission?,"['Children make up a very small proportion of reported COVID-19 cases, with about 1% of all cases reported being under 10 years, and 4% aged 10-19 years. Children appear as likely to be infected as adults, but they have a much lower risk than adults of developing symptoms or severe disease. There is still some uncertainty about the extent to which asymptomatic or mildly symptomatic children transmit disease.']"
What is the risk of infection in pregnant women and neonates?,"['There is limited scientific evidence on the severity of illness in pregnant women after COVID-19 infection. It seems that pregnant women appear to experience similar clinical manifestations as non-pregnant women who have progressed to COVID-19 pneumonia and to date (as of 25 March), there have been no maternal deaths, no pregnancy losses and only one stillbirth reported. No current evidence suggests that infection with COVID-19 during pregnancy has a negative effect on the foetus. At present, there is no evidence of transmission of COVID-19 from mother to baby during pregnancy and only one confirmed COVID-19 neonatal case has been reported to date.\n\nECDC will continue to monitor the emerging scientific literature on this question, and suggests that all pregnant women follow the same general precautions for the prevention of COVID-19, including regular handwashing, avoiding individuals who are sick, and self-isolating in case of any symptoms, while consulting a healthcare provider by telephone for advice.']"
Is there a treatment for the COVID-19 disease?,"['There is no specific treatment or vaccine for this disease.\n\nHealthcare providers are mostly using a symptomatic approach, meaning they treat the symptoms rather than target the virus, and provide supportive care (e.g. oxygen therapy, fluid management) for infected persons, which can be highly effective.\n\nIn severe and critically ill patients, a number of drugs are being tried to target the virus, but the use of these need to be more carefully assessed in randomised controlled trials. Several clinical trials are ongoing to assess their effectiveness but results are not yet available.\n\nAs this is a new virus, no vaccine is currently available. Although work on a vaccine has already started by several research groups and pharmaceutical companies worldwide, it may be months to more than a year before a vaccine has been tested and is ready for use in humans.']"
When should I be tested for COVID-19?,"['Current advice for testing depends on the stage of the outbreak in the country or area where you live. Testing approaches will be adapted to the situation at national and local level. National authorities may decide to test only subgroups of suspected cases based on the national capacity to test, the availability of necessary equipment for testing, the level of community transmission of COVID-19, or other criteria.\n\nAs a resource conscious approach, ECDC has suggested that national authorities may consider prioritising testing in the following groups:\n\nhospitalised patients with severe respiratory infections;\nsymptomatic healthcare staff including those with mild symptoms;\ncases with acute respiratory infections in hospital or long-term care facilities;\npatients with acute respiratory infections or influenza-like illness in certain outpatient clinics or hospitals;\nelderly people with underlying chronic medical conditions such as lung disease, cancer, heart failure, cerebrovascular disease, renal disease, liver disease, diabetes, and immunocompromising conditions.']"
Where can I get tested?,"['If you are feeling ill with COVID-19 symptoms (such as fever, cough, difficulty breathing, muscle pain or general weakness), it is recommended that you contact your local healthcare services online or by telephone. If your healthcare provider believes there is a need for a laboratory test for the virus that causes COVID-19, he/she will inform you of the procedure to follow and advise where and how the test can be performed.']"
Do persons suffering from pollen allergy or allergies in general have a higher risk to develop severe disease when having COVID-19?,"['A large proportion of the population (up to 15-20%) reports seasonal symptoms related to pollen, the most common of which include itchy eyes, nasal congestion, runny nose and sometimes wheezing and skin rash. All these symptoms are usually referred to as hay fever, pollen allergy or more appropriately allergic rhinitis. Allergic rhinitis is commonly associated with allergic asthma in children and adults.\n\nAllergies, including mild allergic asthma, have not been identified as a major risk factor for SARS-CoV-2 infection or for a more unfavourable outcome in the studies available so far. Moderate to severe asthma on the other hand, where patients need treatment daily, is included in the chronic lung conditions that predispose to severe disease.\n\nChildren and adults on maintenance medication for allergies (e.g. leukotriene inhibitors, inhaled corticosteroids and/or bronchodilators) need to continue their treatment as prescribed by their doctor and should not discontinue their medication due to fears of COVID-19. If they develop symptoms compatible with COVID-19, they will need to self-isolate, inform their doctor and monitor their health as everyone else. If progressive difficulty breathing develops, they should seek prompt medical assistance.\n']"
How can we differentiate between hay fever/pollen allergy related respiratory symptoms and COVID-19 infection?,"['Someone with COVID-19 usually has mild, flu-like symptoms (see above question 1), which are rather common and need to be distinguished from similar symptoms caused by common cold viruses and from allergic symptoms during springtime.\n\nThe following table presents a comparison of the most common symptoms of all three conditions according to their reported frequency.\n\nIt is good to bear in mind that the definitive diagnosis of COVID-19 is not clinical, but through laboratory testing of a sample from the nose or mouth.']"
Should people who suffer from pollen allergy self-isolate if they develop typical hay fever symptoms?,"['No, there is no more reason for people suffering from pollen allergy to self-isolate if they develop their typical hay-fever symptoms than for anyone else. They should continue following the general guidance for physical distancing and seek medical advice if their symptoms get worse, if they develop fever or progressive difficulty breathing.']"
How can I avoid getting infected?,"['The virus enters your body via your eyes, nose and/or mouth, so it is important to avoid touching your face with unwashed hands.\n\nWashing of hands with soap and water for at least 20 seconds, or cleaning hands thoroughly with alcohol-based solutions, gels or tissues is recommended in all settings. It is also recommended to stay one metre or more away from people infected with COVID-19 who are showing symptoms, to reduce the risk of infection through respiratory droplets.']"
How can I avoid infecting others?,"['Cough or sneeze into your elbow or use a tissue. If you use a tissue, dispose of it carefully after a single use\nWash your hands with soap and water for at least 20 seconds.\nStay one metre or more away from people to reduce the risk of spreading the virus through respiratory droplets.\nIf you feel unwell, stay at home. If you develop any symptoms suggestive of COVID-19, you should immediately call your healthcare provider for advice.']"
What is physical distancing and why and how should I do it?,"['Physical distancing aims to reduce physical contact between potentially infected people and healthy people, or between population groups with high rates of transmission and others with low or no level of transmission. The objective of this is to decrease or interrupt the spread of COVID-19.\n\nNote that the term ‘physical distancing’ means the same thing as the widely used term ‘social distancing’, but it more accurately describes what is intended, namely that people keep physically apart. Physical distancing measures might be implemented over an extended period and their success depends on ensuring that people maintain social contact – from a distance – with friends, family and colleagues. Internet-based communications and the phone are therefore key tools for ensuring a successful physical distancing strategy.']"
What should I do if I develop symptoms of COVID-19?,['Follow the guidelines of the public health authorities in your area on the steps to take or call the local COVID-19 helpline.']
Are face masks effective in protecting against COVID-19?,"['If you are infected, the use of surgical face masks may reduce the risk of you infecting other people. On the other hand there is no evidence that face masks will effectively prevent you from becoming infected with the virus. In fact, it is possible that the use of face masks may even increase the risk of infection due to a false sense of security and increased contact between hands, mouth and eyes while wearing them. The inappropriate use of masks also may increase the risk of infection.']"
Is there a vaccine against the virus? ,"['There are currently no vaccines against human coronaviruses, including the virus that causes COVID-19. This is why it is very important to prevent infection and to take measures to contain further spread of the virus.']"
How long will it take to develop a vaccine?,"['The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take months or years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy.  These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people.']"
Am I protected against COVID-19 if I had the influenza vaccine this year?,['Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.']
What is the situation in Europe at the moment?,"['In the last month, the number of cases and deaths reported in the EU/EEA has increased exponentially from less than 2 000 cases to more than 350 000 (as of 30 March). During this time, all EU/EEA countries have reported increasing numbers of new cases; Italy has reported more than 90 000 new cases and Spain more than 75 000 new cases. If this trend continues, based on the quick pace of growth of the epidemic observed in China and northern Italy, it is likely that in days, or a small number of weeks, nationally incapacitating epidemics will be observed in most EU/EEA Member States.']"
How prepared is Europe for COVID-19? ,"['The outbreak of COVID-19 has evolved dramatically in the EU/EEA and the UK. The rapid escalation of cases in countries such as Italy and Spain has placed enormous pressure on healthcare systems, and presented a major challenge for local services. All countries in the EU have responded to the emerging situation. The situation continues to evolve and lessons are still being learnt and countries are working hard to adapt their response to the ever changing situation.']"
What is the EU doing?,"['The European Centre for Disease Prevention and Control (ECDC) is in continuous contact with the European Commission and the World Health Organization (WHO) regarding the assessment of this outbreak. \n\nTo inform the European Commission and the public health authorities in Member States of the ongoing situation, ECDC publishes daily updates and continuously assesses the risk for EU citizens. ECDC and WHO develop technical guidance to support countries in their response. The European Commission is ensuring the coordination of risk management activities at EU level.']"
Am I at risk of contracting COVID-19 infection in the EU?,"['This outbreak is evolving rapidly. ECDC is continuously assessing the risk for EU citizens and the risk assessment is changing accordingly. As this is a new virus, most people do not have any immunity that can safeguard against infection.\n\nYou can find the latest information in the daily situation update and the regular ECDC risk assessment.']"
How many people have been infected in the EU/EEA?,"['COVID-19 is spreading rapidly worldwide, and the number of cases in Europe is increasing exponentially in many affected areas.\n\nSee the ECDC daily situation update for the latest available numbers.']"
How long will this outbreak last? When will we see the peak?,"['Any predictions about when the peak will come and how long the outbreak will last are purely speculative at this stage. As greater evidence emerges regarding the nature of the virus and the effectiveness of measures used to control the outbreak, predictions relating to the future course of COVID-19 will become more reliable.']"
Should schools and day centres be closed?,"['The evidence we have to date indicates that COVID-19 does not cause serious illness in children – not nearly as much as it does for adults. However, they can be infected as easily as adults, though the extent to which children play a role in the transmission of the virus to others is still uncertain.\n\nDepending on local circumstances, local authorities may decide to temporarily close schools and day care centres to reduce transmission in the community. However, school closures may have an impact on availability of healthcare staff and other essential services, due to the need for having to  care for their children when not in school, which needs to be taken into consideration (e.g. some countries only maintain schooling for these children of staff in a critical role). Also, if grandparents are asked to care for the children, the benefits of lower transmission between children might be offset by transmission into a more vulnerable population group. Wherever school closure happens, it is important that parents and caregivers are supported, for example by their employers applying teleworking or limited office shift schedules, so they can stay at home more and take care of their children.']"
Where can I learn more about the situation and the guidelines from my country?,['Each EU/EEA country and the UK have dedicated websites with information for the public on COVID-19 and on the national situation.\n\nConsult with your national authorities to get advice tailored for your setting. ']
