age,CHI_Month_0,CHI_0_1,Support_Cases_0,Support_Cases_0_1,SP_0,SP_0_1,Logins,Blog,Views,LastLogin,churn,,
 29.0 , 116.0 , (1.0), -   , -   , -   , -   , 5.0 , (2.0), (32.0), (2.0), -   ,,
 30.0 , 89.0 , 9.0 , -   , -   , -   , -   , 17.0 , -   , (490.0), -   , -   ,,
 32.0 , 215.0 , 15.0 , -   , -   , -   , -   , 65.0 , (1.0)," 2,472.0 ", -   , -   ,,
 24.0 , 40.0 , (61.0), -   , -   , -   , -   , 1.0 , (1.0), 14.0 , (19.0), -   ,,
 31.0 , 100.0 , (21.0), -   , -   , -   , -   , 3.0 , -   , 44.0 , (4.0), -   ,,
 29.0 , 129.0 , (13.0), -   , (1.0), -   , (2.0), (42.0), -   , (503.0), -   , -   ,,
 32.0 , 139.0 , 30.0 , -   , -   , -   , -   , 5.0 , 2.0 , (112.0), -   , -   ,,
 27.0 , 80.0 , -   , -   , -   , -   , -   , (2.0), -   , (96.0), 1.0 , -   ,,
 31.0 , 82.0 , -   , -   , -   , -   , -   , (5.0), -   , (200.0), -   , -   ,,
 27.0 , 12.0 , 1.0 , -   , -   , -   , -   , -   , -   , 6.0 , 30.0 , -   ,,
 28.0 , 182.0 , 8.0 , -   , -   , -   , -   , 28.0 , (2.0), 71.0 , (5.0), -   ,,
 30.0 , 30.0 , (10.0), -   , -   , -   , -   , (1.0), -   , 1.0 , (20.0), -   ,,
 31.0 , 57.0 , (5.0), 2.0 , 2.0 , 3.0 , 3.0 , 22.0 , -   , 19.0 , 31.0 , -   ,,
 31.0 , 168.0 , 18.0 , -   , (6.0), -   , (3.0), (1.0), 3.0 , (48.0), 10.0 , -   ,,
 31.0 , 78.0 , -   , -   , -   , -   , -   , -   , -   , 54.0 , 31.0 , -   ,,
 29.0 , 63.0 , (2.0), -   , -   , -   , -   , 4.0 , -   , (1.0), 10.0 , -   ,,
 31.0 , 158.0 , 10.0 , 4.0 , 4.0 , 3.0 , 3.0 , 48.0 , -   , 128.0 , -   , -   ,,
 31.0 , 85.0 , (10.0), -   , -   , -   , -   , -   , -   , (602.0), 3.0 , -   ,,
 32.0 , 70.0 , 2.0 , -   , -   , -   , -   , 5.0 , -   , -   , (9.0), -   ,,
 31.0 , 107.0 , (1.0), -   , -   , -   , -   , 3.0 , -   , (126.0), (5.0), -   ,,
 31.0 , 18.0 , (40.0), -   , -   , -   , -   , (2.0), -   , 385.0 , (5.0), -   ,,
 31.0 , 205.0 , 5.0 , -   , -   , -   , -   , 41.0 , (2.0), (286.0), (1.0), -   ,,
 31.0 , 131.0 , 13.0 , -   , -   , -   , -   , 3.0 , -   , 230.0 , 16.0 , -   ,,
 31.0 , 115.0 , -   , -   , -   , -   , -   , 1.0 , -   , (9.0), 21.0 , -   ,,
 30.0 , 167.0 , 37.0 , -   , -   , -   , -   , 9.0 , 1.0 , (76.0), 3.0 , -   ,,
 31.0 , 176.0 , (11.0), 4.0 , 3.0 , 3.0 , -   , 89.0 , -   , 83.0 , -   , -   ,,
 30.0 , 106.0 , (25.0), -   , -   , -   , -   , (3.0), -   , 847.0 , 4.0 , 1.0 ,,
 31.0 , 79.0 , 25.0 , -   , -   , -   , -   , 4.0 , -   , (36.0), 31.0 , -   ,,
 26.0 , -   , (27.0), -   , -   , -   , -   , -   , -   , 13.0 , 31.0 , -   ,,
 30.0 , 26.0 , (35.0), -   , -   , -   , -   , (4.0), -   , 9.0 , (182.0), -   ,,
 28.0 , 145.0 , 11.0 , -   , -   , -   , -   , 9.0 , -   , 27.0 , 3.0 , -   ,,
 35.0 , 190.0 , (3.0), 3.0 , 2.0 , 3.0 , -   , 11.0 , 2.0 , 555.0 , (1.0), -   ,,
 31.0 , 221.0 , 11.0 , -   , (2.0), -   , (3.5), 42.0 , 5.0 , 491.0 , -   , -   ,,
 31.0 , 60.0 , (3.0), -   , -   , -   , -   , (2.0), -   , (11.0), (6.0), -   ,,
 29.0 , 187.0 , 9.0 , 1.0 , 1.0 , 3.0 , 3.0 , 40.0 , -   , (545.0), (1.0), -   ,,
 31.0 , 86.0 , 50.0 , 6.0 , 6.0 , 3.0 , 3.0 , 23.0 , 1.0 , -   , 17.0 , -   ,,
 13.0 , 130.0 , (10.0), -   , -   , -   , -   , (2.0), -   , 350.0 , 5.0 , -   ,,
 30.0 , 30.0 , -   , -   , -   , -   , -   , 4.0 , -   , -   , 4.0 , 1.0 ,,
 31.0 , 105.0 , 1.0 , -   , (1.0), -   , (3.0), (17.0), -   ," (1,382.0)", (4.0), 1.0 ,,
 31.0 , 55.0 , (26.0), -   , -   , -   , -   , 5.0 , (1.0), -   , (2.0), -   ,,
 31.0 , 124.0 , 2.0 , -   , -   , -   , -   , -   , -   , (11.0), 31.0 , -   ,,
 27.0 , 73.0 , (2.0), -   , -   , -   , -   , 1.0 , -   , 7.0 , (2.0), -   ,,
 30.0 , 57.0 , (71.0), -   , (4.0), -   , (3.0), (23.0), (1.0), 509.0 , 4.0 , -   ,,
 29.0 , 200.0 , 5.0 , -   , -   , -   , -   , 104.0 , (1.0), 705.0 , -   , -   ,,
 29.0 , 178.0 , (5.0), -   , -   , -   , -   , 38.0 , (2.0), (123.0), -   , -   ,,
 31.0 , 92.0 , (2.0), -   , -   , -   , -   , (4.0), -   , 8.0 , (3.0), -   ,,
 31.0 , 75.0 , 10.0 , 1.0 , 1.0 , 3.0 , 3.0 , 4.0 , -   , -   , (30.0), -   ,,
 31.0 , 115.0 , 46.0 , -   , (1.0), -   , (3.0), (17.0), -   , 11.0 , -   , -   ,,
 31.0 , 40.0 , 40.0 , -   , -   , -   , -   , 6.0 , -   , -   , 30.0 , -   ,,
 31.0 , 34.0 , -   , -   , -   , -   , -   , -   , -   , 8.0 , 31.0 , -   ,,
 31.0 , 62.0 , (11.0), -   , -   , -   , -   , 1.0 , -   , 8.0 , 15.0 , -   ,,
 31.0 , 163.0 , (12.0), 2.0 , (1.0), 2.5 , (0.5), 18.0 , (11.0)," 1,337.0 ", -   , -   ,,
 31.0 , 158.0 , 44.0 , -   , -   , -   , -   , 22.0 , 2.0 ," 1,048.0 ", (5.0), -   ,,
 31.0 , 97.0 , 14.0 , 3.0 , 3.0 , 3.0 , 3.0 , 18.0 , -   , (27.0), (3.0), -   ,,
 31.0 , 139.0 , 14.0 , -   , -   , -   , -   , 8.0 , 1.0 , 9.0 , 3.0 , -   ,,
 31.0 , 129.0 , 41.0 , 1.0 , -   , 3.0 , -   , 59.0 , 1.0 , (28.0), (1.0), -   ,,
 31.0 , 17.0 , -   , -   , -   , -   , -   , (2.0), -   , 4.0 , (154.0), -   ,,
 20.0 , 126.0 , 36.0 , 3.0 , -   , 3.0 , -   , (1.0), 2.0 , 36.0 , 1.0 , -   ,,
 31.0 , 176.0 , -   , -   , (4.0), -   , (3.0), 39.0 , 1.0 ," (1,234.0)", (1.0), 1.0 ,,
 31.0 , -   , (25.0), -   , -   , -   , -   , (1.0), -   , 28.0 , 11.0 , -   ,,
 30.0 , 166.0 , (1.0), -   , -   , -   , -   , (5.0), (1.0), 138.0 , 3.0 , -   ,,
 30.0 , 72.0 , (1.0), -   , -   , -   , -   , (4.0), -   , (71.0), (33.0), 1.0 ,,
 31.0 , 86.0 , (10.0), -   , -   , -   , -   , 1.0 , -   , -   , 13.0 , -   ,,
 31.0 , 211.0 , 10.0 , -   , -   , -   , -   , 40.0 , 1.0 ," (3,700.0)", -   , -   ,,
 31.0 , 124.0 , (13.0), 2.0 , 2.0 , 3.0 , 3.0 , (4.0), (3.0), (27.0), 3.0 , -   ,,
 29.0 , 73.0 , 37.0 , -   , -   , -   , -   , 23.0 , -   , (2.0), -   , -   ,,
 13.0 , 70.0 , (10.0), -   , -   , -   , -   , 2.0 , -   , 8.0 , (33.0), -   ,,
 30.0 , 22.0 , (1.0), -   , -   , -   , -   , (3.0), -   , -   , (15.0), -   ,,
 31.0 , 150.0 , (9.0), -   , -   , -   , -   , (11.0), 1.0 , 211.0 , (3.0), -   ,,
 29.0 , 187.0 , (16.0), -   , (2.0), -   , (3.0), 37.0 , (2.0), 336.0 , (1.0), -   ,,
 30.0 , 205.0 , 10.0 , -   , (1.0), -   , (3.0), 116.0 , 4.0 , (122.0), -   , -   ,,
 29.0 , 110.0 , (2.0), -   , -   , -   , -   , (7.0), -   , 1.0 , (3.0), 1.0 ,,
 29.0 , 195.0 , 12.0 , 1.0 , 1.0 , 3.0 , 3.0 , 65.0 , 3.0 , (774.0), 4.0 , -   ,,
 31.0 , 26.0 , -   , -   , -   , -   , -   , (4.0), -   , (18.0), (13.0), -   ,,
 31.0 , -   , -   , -   , -   , -   , -   , -   , -   , (3.0), 31.0 , -   ,,
 6.0 , -   , (35.0), -   , -   , -   , -   , (16.0), -   , 1.0 , 7.0 , 1.0 ,,
 30.0 , 48.0 , -   , -   , -   , -   , -   , -   , -   , (66.0), 31.0 , -   ,,
 31.0 , 220.0 , 20.0 , 4.0 , 4.0 , 3.0 , 3.0 , 50.0 , (5.0), (314.0), -   , -   ,,
 31.0 , 93.0 , (29.0), -   , -   , -   , -   , 5.0 , (2.0), 233.0 , 13.0 , -   ,,
 28.0 , 133.0 , 8.0 , -   , -   , -   , -   , 17.0 , -   , (18.0), (16.0), -   ,,
 30.0 , 85.0 , 12.0 , -   , -   , -   , -   , 9.0 , 3.0 , -   , 19.0 , -   ,,
 1.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 31.0 , 109.0 , 6.0 , -   , -   , -   , -   , 13.0 , -   , 116.0 , -   , -   ,,
 28.0 , 104.0 , (48.0), 1.0 , 1.0 , 3.0 , 3.0 , (10.0), (1.0), 83.0 , (2.0), -   ,,
 31.0 , 60.0 , 25.0 , -   , -   , -   , -   , 1.0 , -   , (4.0), 17.0 , -   ,,
 18.0 , 100.0 , (5.0), -   , -   , -   , -   , -   , -   , (2.0), -   , -   ,,
 29.0 , 97.0 , (31.0), -   , -   , -   , -   , (7.0), (2.0), (44.0), (3.0), -   ,,
 31.0 , 97.0 , (18.0), -   , -   , -   , -   , (8.0), -   , (100.0), (64.0), -   ,,
 31.0 , 82.0 , (42.0), -   , (1.0), -   , (3.0), (9.0), (1.0), (31.0), 4.0 , -   ,,
 31.0 , 131.0 , (36.0), -   , -   , -   , -   , (3.0), (1.0), (169.0), -   , -   ,,
 28.0 , 142.0 , (40.0), -   , (2.0), -   , (3.0), 82.0 , (2.0), 238.0 , (2.0), -   ,,
 18.0 , 214.0 , (5.0), 1.0 , (1.0), 3.0 , -   , 33.0 , 5.0 , 410.0 , -   , -   ,,
 30.0 , 34.0 , (24.0), -   , -   , -   , -   , (4.0), -   , 7.0 , (30.0), 1.0 ,,
 28.0 , 205.0 , 17.0 , -   , -   , -   , -   , 143.0 , 2.0 , 7.0 , -   , -   ,,
 30.0 , 121.0 , (1.0), -   , -   , -   , -   , 1.0 , -   , (240.0), 1.0 , -   ,,
 28.0 , 7.0 , (40.0), -   , -   , -   , -   , -   , -   , (30.0), 31.0 , -   ,,
 30.0 , 105.0 , 10.0 , 3.0 , -   , 3.0 , -   , 26.0 , 1.0 ," (1,680.0)", (2.0), -   ,,
 31.0 , 110.0 , 1.0 , -   , -   , -   , -   , 17.0 , 1.0 , (92.0), 3.0 , -   ,,
 31.0 , 69.0 , (2.0), -   , -   , -   , -   , 3.0 , -   , 62.0 , 19.0 , -   ,,
 30.0 , 290.0 , 68.0 , 4.0 , 3.0 , 2.8 , (0.3), 22.0 , 1.0 , 276.0 , -   , -   ,,
 30.0 , 110.0 , (2.0), -   , -   , -   , -   , 15.0 , -   , (72.0), (1.0), -   ,,
 30.0 , 179.0 , 62.0 , 1.0 , (1.0), 2.0 , (1.0), 21.0 , 6.0 ," (6,143.0)", -   , -   ,,
 30.0 , 161.0 , (5.0), -   , -   , -   , -   , 8.0 , -   ," 2,589.0 ", (4.0), -   ,,
 25.0 , 118.0 , (3.0), -   , -   , -   , -   , 7.0 , -   , (14.0), (1.0), -   ,,
 30.0 , 156.0 , (4.0), 1.0 , -   , 4.0 , 1.0 , 13.0 , (3.0), 13.0 , (8.0), -   ,,
 30.0 , 185.0 , (18.0), 1.0 , (1.0), 3.0 , -   , 57.0 , 6.0 , 396.0 , -   , -   ,,
 4.0 , 25.0 , (10.0), -   , -   , -   , -   , (24.0), -   , -   , 11.0 , -   ,,
 30.0 , 205.0 , 30.0 , 1.0 , 1.0 , 3.0 , 3.0 , 39.0 , -   ," 2,386.0 ", -   , -   ,,
 30.0 , 194.0 , 6.0 , -   , -   , -   , -   , 45.0 , 8.0 , 363.0 , -   , -   ,,
 24.0 , 89.0 , (29.0), -   , -   , -   , -   , (17.0), (2.0), (1.0), -   , -   ,,
 1.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 30.0 , 35.0 , (18.0), -   , (1.0), -   , (3.0), -   , -   , -   , 6.0 , -   ,,
 28.0 , 54.0 , 8.0 , -   , -   , -   , -   , -   , -   , 6.0 , 31.0 , -   ,,
 27.0 , 86.0 , -   , -   , -   , -   , -   , 3.0 , -   , -   , (17.0), 1.0 ,,
 30.0 , 88.0 , 6.0 , -   , -   , -   , -   , 3.0 , -   , 60.0 , (85.0), -   ,,
 30.0 , 157.0 , -   , -   , (1.0), -   , (3.0), 10.0 , -   , (61.0), 1.0 , -   ,,
 28.0 , 119.0 , 41.0 , -   , -   , -   , -   , 7.0 , 1.0 , (1.0), 10.0 , -   ,,
 30.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 29.0 , 191.0 , (4.0), -   , (1.0), -   , (3.0), 38.0 , 9.0 , (40.0), 13.0 , -   ,,
 28.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 30.0 , 141.0 , (1.0), 4.0 , 2.0 , 3.0 , -   , 11.0 , -   , (9.0), -   , -   ,,
 29.0 , 122.0 , 8.0 , -   , -   , -   , -   , (1.0), -   , (137.0), 11.0 , -   ,,
 30.0 , 77.0 , (49.0), -   , -   , -   , -   , (14.0), (1.0), 99.0 , 5.0 , -   ,,
 28.0 , 149.0 , (1.0), 1.0 , 1.0 , 3.0 , 3.0 , 16.0 , -   , (289.0), (5.0), -   ,,
 21.0 , 118.0 , (1.0), -   , -   , -   , -   , 45.0 , -   , (505.0), 4.0 , -   ,,
 29.0 , 142.0 , 1.0 , -   , -   , -   , -   , 38.0 , 1.0 , -   , 2.0 , -   ,,
 30.0 , 188.0 , (14.0), -   , -   , -   , -   , (7.0), (1.0), 514.0 , -   , -   ,,
 27.0 , 89.0 , (53.0), -   , -   , -   , -   , (8.0), (4.0), 86.0 , (5.0), 1.0 ,,
 30.0 , 80.0 , 10.0 , -   , -   , -   , -   , 16.0 , -   , 91.0 , 9.0 , -   ,,
 15.0 , 53.0 , 15.0 , -   , -   , -   , -   , 2.0 , -   , -   , -   , -   ,,
 22.0 , 14.0 , (11.0), -   , -   , -   , -   , -   , -   , (1.0), (6.0), -   ,,
 30.0 , 162.0 , (14.0), 1.0 , 1.0 , 3.0 , 3.0 , (12.0), 1.0 , 97.0 , -   , -   ,,
 30.0 , 79.0 , (10.0), 1.0 , -   , 3.0 , -   , 4.0 , -   , (13.0), (25.0), -   ,,
 30.0 , 149.0 , (2.0), 2.0 , 2.0 , 3.0 , 3.0 , 31.0 , (7.0)," 1,789.0 ", (3.0), -   ,,
 30.0 , 89.0 , (2.0), -   , (1.0), -   , (2.0), (22.0), -   , (67.0), (3.0), -   ,,
 29.0 , 118.0 , (3.0), -   , -   , -   , -   , 34.0 , (2.0), (80.0), 5.0 , -   ,,
 15.0 , 132.0 , -   , 1.0 , -   , 3.0 , -   , 23.0 , -   , (27.0), 3.0 , -   ,,
 30.0 , -   , (113.0), -   , -   , -   , -   , (23.0), -   , 69.0 , 7.0 , -   ,,
 30.0 , 176.0 , 13.0 , -   , -   , -   , -   , 40.0 , 13.0 , 768.0 , -   , -   ,,
 30.0 , 234.0 , 3.0 , 1.0 , (2.0), 3.0 , -   , (2.0), (2.0)," (1,044.0)", (2.0), -   ,,
 30.0 , 184.0 , (2.0), 1.0 , -   , 3.0 , -   , 4.0 , (11.0), (356.0), -   , -   ,,
 24.0 , 77.0 , (17.0), 2.0 , 1.0 , 3.0 , -   , 29.0 , -   , 120.0 , (6.0), 1.0 ,,
 30.0 , 135.0 , 18.0 , 1.0 , -   , 2.0 , -   , 52.0 , 3.0 , 387.0 , 2.0 , -   ,,
 29.0 , 79.0 , (62.0), -   , -   , -   , -   , (15.0), (2.0), (55.0), 3.0 , -   ,,
 27.0 , 186.0 , 19.0 , -   , -   , -   , -   , 84.0 , (1.0)," 1,922.0 ", (1.0), -   ,,
 29.0 , 24.0 , (8.0), -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 30.0 , 92.0 , (1.0), -   , -   , -   , -   , (10.0), (1.0), 64.0 , 2.0 , -   ,,
 29.0 , 128.0 , -   , -   , (1.0), -   , (3.0), (1.0), -   , (3.0), 7.0 , -   ,,
 28.0 , 40.0 , 25.0 , -   , -   , -   , -   , 4.0 , -   , (1.0), 31.0 , -   ,,
 29.0 , 145.0 , (34.0), -   , (1.0), -   , (2.0), (9.0), (2.0), 48.0 , -   , -   ,,
 30.0 , 116.0 , 12.0 , -   , -   , -   , -   , 27.0 , -   , (70.0), (5.0), -   ,,
 30.0 , 145.0 , 36.0 , -   , -   , -   , -   , (3.0), 1.0 , (308.0), (7.0), -   ,,
 28.0 , 97.0 , (1.0), -   , -   , -   , -   , 2.0 , -   , 12.0 , 2.0 , -   ,,
 24.0 , -   , -   , -   , -   , -   , -   , -   , -   , 38.0 , 31.0 , 1.0 ,,
 23.0 , 128.0 , 33.0 , -   , -   , -   , -   , 11.0 , 1.0 , 38.0 , 2.0 , -   ,,
 30.0 , 51.0 , 33.0 , -   , -   , -   , -   , 4.0 , -   , 7.0 , 30.0 , -   ,,
 29.0 , 112.0 , (39.0), -   , -   , -   , -   , (7.0), (2.0), 58.0 , (4.0), -   ,,
 28.0 , 199.0 , (7.0), -   , (1.0), -   , (3.0), 17.0 , 3.0 , (503.0), -   , -   ,,
 28.0 , 69.0 , 7.0 , 1.0 , (1.0), 4.0 , 1.0 , 42.0 , -   , (68.0), -   , 1.0 ,,
 12.0 , 59.0 , (10.0), -   , -   , -   , -   , (5.0), -   , (54.0), 13.0 , -   ,,
 29.0 , 76.0 , (15.0), -   , -   , -   , -   , 5.0 , -   , 764.0 , (2.0), -   ,,
 29.0 , 157.0 , 26.0 , -   , -   , -   , -   , 124.0 , 1.0 , (5.0), (1.0), -   ,,
 30.0 , 80.0 , -   , -   , -   , -   , -   , -   , -   , 40.0 , 31.0 , -   ,,
 10.0 , 130.0 , (15.0), 2.0 , (2.0), 3.0 , 0.3 , 35.0 , -   , -   , -   , 1.0 ,,
 28.0 , 212.0 , (14.0), -   , (1.0), -   , (3.0), (3.0), (4.0)," 11,604.0 ", -   , -   ,,
 29.0 , 36.0 , 29.0 , -   , -   , -   , -   , -   , -   , (55.0), 31.0 , -   ,,
 26.0 , 71.0 , 35.0 , -   , -   , -   , -   , 8.0 , -   , (560.0), 31.0 , -   ,,
 29.0 , 134.0 , 36.0 , -   , -   , -   , -   , 7.0 , 3.0 , (215.0), (19.0), -   ,,
 30.0 , 117.0 , 11.0 , 1.0 , 1.0 , 3.0 , 3.0 , 181.0 , -   , 12.0 , -   , -   ,,
 27.0 , 62.0 , 13.0 , -   , -   , -   , -   , 4.0 , -   , (104.0), 31.0 , 1.0 ,,
 30.0 , 100.0 , (4.0), -   , -   , -   , -   , 13.0 , 1.0 , 1.0 , 14.0 , -   ,,
 29.0 , 47.0 , (19.0), -   , -   , -   , -   , 29.0 , -   , 34.0 , (5.0), -   ,,
 30.0 , 81.0 , (10.0), -   , -   , -   , -   , 4.0 , -   , 8.0 , (3.0), -   ,,
 28.0 , 34.0 , 1.0 , -   , -   , -   , -   , -   , -   , (88.0), 31.0 , -   ,,
 30.0 , 96.0 , 18.0 , -   , -   , -   , -   , 16.0 , -   , 82.0 , 31.0 , -   ,,
 29.0 , 132.0 , 59.0 , -   , -   , -   , -   , 2.0 , 1.0 , 106.0 , 30.0 , -   ,,
 30.0 , 204.0 , (3.0), 1.0 , -   , 3.0 , -   , 92.0 , (4.0), 982.0 , -   , -   ,,
 30.0 , -   , -   , -   , -   , -   , -   , (2.0), -   , -   , (74.0), 1.0 ,,
 29.0 , 78.0 , 10.0 , 2.0 , 2.0 , 3.0 , 3.0 , 15.0 , -   , 203.0 , (3.0), -   ,,
 15.0 , 71.0 , 15.0 , 1.0 , 1.0 , 3.0 , 3.0 , (25.0), -   , (28.0), -   , -   ,,
 29.0 , 167.0 , (29.0), -   , (2.0), -   , (2.5), (26.0), 2.0 , 85.0 , -   , -   ,,
 28.0 , 74.0 , (49.0), -   , -   , -   , -   , (10.0), (3.0), (17.0), (17.0), -   ,,
 28.0 , 137.0 , (33.0), 1.0 , 1.0 , 4.0 , 4.0 , 19.0 , (2.0), 108.0 , (1.0), -   ,,
 30.0 , 139.0 , 70.0 , -   , -   , -   , -   , 16.0 , 1.0 , 581.0 , 21.0 , -   ,,
 30.0 , 103.0 , 4.0 , -   , -   , -   , -   , (5.0), -   , 19.0 , (11.0), -   ,,
 29.0 , 198.0 , 8.0 , -   , (3.0), -   , (3.0), 21.0 , 3.0 ," (1,467.0)", -   , -   ,,
 28.0 , 111.0 , 8.0 , -   , -   , -   , -   , 12.0 , -   , 295.0 , (1.0), -   ,,
 25.0 , 204.0 , (10.0), 2.0 , 1.0 , 2.0 , (1.0), 52.0 , 5.0 , (139.0), -   , -   ,,
 26.0 , 90.0 , (15.0), -   , -   , -   , -   , 7.0 , -   ," 4,779.0 ", 9.0 , -   ,,
 29.0 , 149.0 , (2.0), -   , -   , -   , -   , 26.0 , 2.0 , (58.0), (30.0), -   ,,
 29.0 , 213.0 , -   , -   , -   , -   , -   , 13.0 , 2.0 , 44.0 , (1.0), -   ,,
 28.0 , 18.0 , (15.0), -   , -   , -   , -   , -   , -   ," (4,634.0)", 31.0 , -   ,,
 30.0 , 136.0 , 1.0 , 1.0 , 1.0 , 3.0 , 3.0 , 12.0 , -   , (470.0), (3.0), -   ,,
 28.0 , 129.0 , 20.0 , -   , -   , -   , -   , 13.0 , 1.0 , 176.0 , (11.0), -   ,,
 29.0 , 100.0 , (13.0), -   , -   , -   , -   , (1.0), (1.0), (52.0), (55.0), -   ,,
 29.0 , 184.0 , (10.0), -   , -   , -   , -   , 26.0 , (1.0), 187.0 , -   , -   ,,
 28.0 , 79.0 , 51.0 , -   , -   , -   , -   , 4.0 , 2.0 , 15.0 , 30.0 , -   ,,
 29.0 , 153.0 , 7.0 , -   , (1.0), -   , (3.0), 59.0 , 1.0 , 18.0 , (4.0), -   ,,
 29.0 , 107.0 , (32.0), 1.0 , (1.0), 3.0 , -   , (15.0), -   , (4.0), -   , -   ,,
 29.0 , 100.0 , 42.0 , 1.0 , -   , 3.0 , -   , 19.0 , -   , 134.0 , (85.0), -   ,,
 28.0 , 148.0 , 2.0 , -   , -   , -   , -   , 3.0 , 2.0 , (10.0), (3.0), -   ,,
 28.0 , 81.0 , (19.0), -   , -   , -   , -   , (6.0), -   , (12.0), (1.0), -   ,,
 29.0 , 144.0 , 2.0 , 1.0 , 1.0 , 3.0 , 3.0 , 17.0 , 1.0 , 240.0 , -   , -   ,,
 29.0 , 100.0 , (47.0), -   , -   , -   , -   , 20.0 , (2.0), (29.0), -   , -   ,,
 29.0 , 10.0 , (1.0), -   , -   , -   , -   , 1.0 , -   , -   , (4.0), -   ,,
 29.0 , 173.0 , (11.0), -   , -   , -   , -   , (3.0), (1.0), (145.0), (4.0), -   ,,
 20.0 , 224.0 , 4.0 , 4.0 , 4.0 , 2.5 , 2.5 , 184.0 , -   ," (1,686.0)", -   , -   ,,
 29.0 , 125.0 , 14.0 , -   , -   , -   , -   , 37.0 , -   , (40.0), (3.0), -   ,,
 29.0 , 146.0 , (9.0), 2.0 , 1.0 , 3.0 , -   , 35.0 , (1.0), 256.0 , -   , -   ,,
 29.0 , 72.0 , (11.0), -   , -   , -   , -   , (39.0), -   , (11.0), -   , -   ,,
 29.0 , 186.0 , 9.0 , -   , -   , -   , -   , (10.0), 1.0 , 531.0 , -   , -   ,,
 29.0 , 137.0 , 25.0 , -   , -   , -   , -   , 22.0 , -   , 104.0 , -   , -   ,,
 29.0 , 108.0 , (11.0), -   , -   , -   , -   , (2.0), -   ," 2,662.0 ", 4.0 , -   ,,
 29.0 , -   , -   , -   , -   , -   , -   , -   , -   , 39.0 , 31.0 , -   ,,
 29.0 , 68.0 , (24.0), -   , -   , -   , -   , -   , (1.0)," 1,657.0 ", 2.0 , -   ,,
 28.0 , 125.0 , 1.0 , -   , -   , -   , -   , 47.0 , -   , 679.0 , 2.0 , -   ,,
 29.0 , 202.0 , (1.0), -   , -   , -   , -   , 44.0 , (4.0)," 1,699.0 ", -   , -   ,,
 29.0 , 47.0 , (27.0), -   , (1.0), -   , (3.0), (4.0), (1.0), 3.0 , 2.0 , -   ,,
 29.0 , 90.0 , (65.0), -   , -   , -   , -   , (1.0), (1.0), (54.0), 1.0 , -   ,,
 28.0 , 151.0 , 71.0 , -   , -   , -   , -   , 8.0 , 1.0 , (11.0), 30.0 , -   ,,
 29.0 , 231.0 , (11.0), 3.0 , 2.0 , 3.0 , -   , (23.0), -   , (15.0), -   , -   ,,
 29.0 , 125.0 , 2.0 , -   , -   , -   , -   , (4.0), -   , 264.0 , -   , -   ,,
 29.0 , 149.0 , 26.0 , -   , -   , -   , -   , 1.0 , -   , 625.0 , (3.0), -   ,,
 23.0 , 91.0 , (62.0), -   , -   , -   , -   , -   , (1.0), 606.0 , 6.0 , -   ,,
 29.0 , 185.0 , 25.0 , -   , -   , -   , -   , 34.0 , 1.0 , (140.0), 3.0 , -   ,,
 29.0 , 55.0 , 10.0 , -   , -   , -   , -   , 10.0 , -   , -   , (3.0), -   ,,
 29.0 , 136.0 , 14.0 , -   , -   , -   , -   , 19.0 , -   , (158.0), (1.0), -   ,,
 26.0 , 81.0 , (1.0), -   , -   , -   , -   , (2.0), -   , (133.0), 9.0 , -   ,,
 29.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 29.0 , 174.0 , (12.0), -   , (5.0), -   , (2.8), (45.0), (2.0), (73.0), -   , -   ,,
 29.0 , 80.0 , (12.0), 1.0 , -   , 3.0 , -   , (11.0), -   , (20.0), -   , -   ,,
 27.0 , 151.0 , (8.0), 1.0 , 1.0 , 3.0 , 3.0 , 42.0 , (1.0), (7.0), 5.0 , -   ,,
 29.0 , 126.0 , 20.0 , -   , -   , -   , -   , 17.0 , -   , (49.0), (4.0), -   ,,
 29.0 , 109.0 , 1.0 , -   , -   , -   , -   , 2.0 , -   , 290.0 , 12.0 , -   ,,
 29.0 , 22.0 , (52.0), -   , -   , -   , -   , (10.0), -   , (171.0), (32.0), -   ,,
 29.0 , 42.0 , (22.0), -   , -   , -   , -   , (48.0), -   , 2.0 , -   , -   ,,
 29.0 , -   , (12.0), -   , -   , -   , -   , (2.0), -   , -   , 18.0 , -   ,,
 29.0 , 88.0 , (6.0), -   , -   , -   , -   , 4.0 , -   , -   , 25.0 , -   ,,
 29.0 , 215.0 , (10.0), 1.0 , 1.0 , 3.0 , 3.0 , (65.0), -   ," 2,093.0 ", -   , -   ,,
 25.0 , 152.0 , (14.0), -   , -   , -   , -   , 5.0 , (2.0), 512.0 , -   , 1.0 ,,
 26.0 , 6.0 , 6.0 , -   , -   , -   , -   , -   , -   , 15.0 , 31.0 , -   ,,
