Question,Answer
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on
surfaces, but it seems to behave like other corona viruses. Studies
suggest that corona viruses (including preliminary information on the
COVID-19 virus) may persist on surfaces for a few hours or up to
several days. This may vary under different conditions (e.g. type of
surface, temperature or humidity of the environment). "
Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low."
Is there anything I should not do?,"The following measures ARE NOT effective against COVID-2019 and
can be harmful:
• Smoking
• Wearing multiple masks
• Taking antibiotics (See question 10 ""Are there any medicines of
therapies that can prevent or cure COVID-19?"") "
Is this virus comparable to SARS or to the seasonal flu?,"The novel coronavirus detected in China in 2019 is closely related genetically to the SARS-CoV-1 virus. SARS emerged at the end of 2002 in China, and it caused more than 8 000 cases in 33 countries over a period of eight months. Around one in ten of the people who developed SARS died.

As of 30 March 2020, the COVID-19 outbreak had caused over 700 000 cases worldwide since the first case was reported in China in January 2020. Of these, more than 30 000 are known to have died. 

See the situation updates for the latest available information."
 What is the mode of transmission? How (easily) does it spread?,"While animals are believed to be the original source, the virus spread is now from person to person (human-to-human transmission). There is not enough epidemiological information at this time to determine how easily this virus spreads between people, but it is currently estimated that, on average, one infected person will infect between two and three other people. 

The virus seems to be transmitted mainly via small respiratory droplets through sneezing, coughing, or when people interact with each other for some time in close proximity (usually less than one metre). These droplets can then be inhaled, or they can land on surfaces that others may come into contact with, who can then get infected when they touch their nose, mouth or eyes. The virus can survive on different surfaces from several hours (copper, cardboard) up to a few days (plastic and stainless steel). However, the amount of viable virus declines over time and may not always be present in sufficient numbers to cause infection."
When is a person infectious?,"The infectious period may begin one to two days before symptoms appear, but people are likely most infectious during the symptomatic period, even if symptoms are mild and very non-specific. The infectious period is now estimated to last for 7-12 days in moderate cases and up to two weeks on average in severe cases."
How severe is COVID-19 infection? ,"Preliminary data from the EU/EEA (from the countries with available data) show that around 20-30% of diagnosed COVID-19 cases are hospitalised and 4% have severe illness. Hospitalisation rates are higher for those aged 60 years and above, and for those with other underlying health conditions."
What are the symptoms of COVID-19 infection,"Symptoms of COVID-19 vary in severity from having no symptoms at all (being asymptomatic) to having fever, cough, sore throat, general weakness and fatigue and muscular pain and in the most severe cases, severe pneumonia, acute respiratory distress syndrome, sepsis and septic shock, all potentially leading to death. Reports show that clinical deterioration can occur rapidly, often during the second week of disease.

Recently, anosmia – loss of the sense of smell – (and in some cases the loss of the sense of taste) have been reported as a symptom of a COVID-19 infection. There is already evidence from South Korea, China and Italy that patients with confirmed SARS-CoV-2 infection have developed anosmia/hyposmia, in some cases in the absence of any other symptoms."
Are some people more at risk than others?,"Elderly people above 70 years of age and those with underlying health conditions (e.g. hypertension, diabetes, cardiovascular disease, chronic respiratory disease and cancer) are considered to be more at risk of developing severe symptoms. Men in these groups also appear to be at a slightly higher risk than females."
Are children also at risk of infection and what is their potential role in transmission?,"Children make up a very small proportion of reported COVID-19 cases, with about 1% of all cases reported being under 10 years, and 4% aged 10-19 years. Children appear as likely to be infected as adults, but they have a much lower risk than adults of developing symptoms or severe disease. There is still some uncertainty about the extent to which asymptomatic or mildly symptomatic children transmit disease."
What is the risk of infection in pregnant women and neonates?,"There is limited scientific evidence on the severity of illness in pregnant women after COVID-19 infection. It seems that pregnant women appear to experience similar clinical manifestations as non-pregnant women who have progressed to COVID-19 pneumonia and to date (as of 25 March), there have been no maternal deaths, no pregnancy losses and only one stillbirth reported. No current evidence suggests that infection with COVID-19 during pregnancy has a negative effect on the foetus. At present, there is no evidence of transmission of COVID-19 from mother to baby during pregnancy and only one confirmed COVID-19 neonatal case has been reported to date.

ECDC will continue to monitor the emerging scientific literature on this question, and suggests that all pregnant women follow the same general precautions for the prevention of COVID-19, including regular handwashing, avoiding individuals who are sick, and self-isolating in case of any symptoms, while consulting a healthcare provider by telephone for advice."
Is there a treatment for the COVID-19 disease?,"There is no specific treatment or vaccine for this disease.

Healthcare providers are mostly using a symptomatic approach, meaning they treat the symptoms rather than target the virus, and provide supportive care (e.g. oxygen therapy, fluid management) for infected persons, which can be highly effective.

In severe and critically ill patients, a number of drugs are being tried to target the virus, but the use of these need to be more carefully assessed in randomised controlled trials. Several clinical trials are ongoing to assess their effectiveness but results are not yet available.

As this is a new virus, no vaccine is currently available. Although work on a vaccine has already started by several research groups and pharmaceutical companies worldwide, it may be months to more than a year before a vaccine has been tested and is ready for use in humans."
When should I be tested for COVID-19?,"Current advice for testing depends on the stage of the outbreak in the country or area where you live. Testing approaches will be adapted to the situation at national and local level. National authorities may decide to test only subgroups of suspected cases based on the national capacity to test, the availability of necessary equipment for testing, the level of community transmission of COVID-19, or other criteria.

As a resource conscious approach, ECDC has suggested that national authorities may consider prioritising testing in the following groups:

hospitalised patients with severe respiratory infections;
symptomatic healthcare staff including those with mild symptoms;
cases with acute respiratory infections in hospital or long-term care facilities;
patients with acute respiratory infections or influenza-like illness in certain outpatient clinics or hospitals;
elderly people with underlying chronic medical conditions such as lung disease, cancer, heart failure, cerebrovascular disease, renal disease, liver disease, diabetes, and immunocompromising conditions."
Where can I get tested?,"If you are feeling ill with COVID-19 symptoms (such as fever, cough, difficulty breathing, muscle pain or general weakness), it is recommended that you contact your local healthcare services online or by telephone. If your healthcare provider believes there is a need for a laboratory test for the virus that causes COVID-19, he/she will inform you of the procedure to follow and advise where and how the test can be performed."
Do persons suffering from pollen allergy or allergies in general have a higher risk to develop severe disease when having COVID-19?,"A large proportion of the population (up to 15-20%) reports seasonal symptoms related to pollen, the most common of which include itchy eyes, nasal congestion, runny nose and sometimes wheezing and skin rash. All these symptoms are usually referred to as hay fever, pollen allergy or more appropriately allergic rhinitis. Allergic rhinitis is commonly associated with allergic asthma in children and adults.

Allergies, including mild allergic asthma, have not been identified as a major risk factor for SARS-CoV-2 infection or for a more unfavourable outcome in the studies available so far. Moderate to severe asthma on the other hand, where patients need treatment daily, is included in the chronic lung conditions that predispose to severe disease.

Children and adults on maintenance medication for allergies (e.g. leukotriene inhibitors, inhaled corticosteroids and/or bronchodilators) need to continue their treatment as prescribed by their doctor and should not discontinue their medication due to fears of COVID-19. If they develop symptoms compatible with COVID-19, they will need to self-isolate, inform their doctor and monitor their health as everyone else. If progressive difficulty breathing develops, they should seek prompt medical assistance.
"
How can we differentiate between hay fever/pollen allergy related respiratory symptoms and COVID-19 infection?,"Someone with COVID-19 usually has mild, flu-like symptoms (see above question 1), which are rather common and need to be distinguished from similar symptoms caused by common cold viruses and from allergic symptoms during springtime.

The following table presents a comparison of the most common symptoms of all three conditions according to their reported frequency.

It is good to bear in mind that the definitive diagnosis of COVID-19 is not clinical, but through laboratory testing of a sample from the nose or mouth."
Should people who suffer from pollen allergy self-isolate if they develop typical hay fever symptoms?,"No, there is no more reason for people suffering from pollen allergy to self-isolate if they develop their typical hay-fever symptoms than for anyone else. They should continue following the general guidance for physical distancing and seek medical advice if their symptoms get worse, if they develop fever or progressive difficulty breathing."
How can I avoid getting infected?,"The virus enters your body via your eyes, nose and/or mouth, so it is important to avoid touching your face with unwashed hands.

Washing of hands with soap and water for at least 20 seconds, or cleaning hands thoroughly with alcohol-based solutions, gels or tissues is recommended in all settings. It is also recommended to stay one metre or more away from people infected with COVID-19 who are showing symptoms, to reduce the risk of infection through respiratory droplets."
How can I avoid infecting others?,"Cough or sneeze into your elbow or use a tissue. If you use a tissue, dispose of it carefully after a single use
Wash your hands with soap and water for at least 20 seconds.
Stay one metre or more away from people to reduce the risk of spreading the virus through respiratory droplets.
If you feel unwell, stay at home. If you develop any symptoms suggestive of COVID-19, you should immediately call your healthcare provider for advice."
What is physical distancing and why and how should I do it?,"Physical distancing aims to reduce physical contact between potentially infected people and healthy people, or between population groups with high rates of transmission and others with low or no level of transmission. The objective of this is to decrease or interrupt the spread of COVID-19.

Note that the term ‘physical distancing’ means the same thing as the widely used term ‘social distancing’, but it more accurately describes what is intended, namely that people keep physically apart. Physical distancing measures might be implemented over an extended period and their success depends on ensuring that people maintain social contact – from a distance – with friends, family and colleagues. Internet-based communications and the phone are therefore key tools for ensuring a successful physical distancing strategy."
What should I do if I develop symptoms of COVID-19?,Follow the guidelines of the public health authorities in your area on the steps to take or call the local COVID-19 helpline.
Are face masks effective in protecting against COVID-19?,"If you are infected, the use of surgical face masks may reduce the risk of you infecting other people. On the other hand there is no evidence that face masks will effectively prevent you from becoming infected with the virus. In fact, it is possible that the use of face masks may even increase the risk of infection due to a false sense of security and increased contact between hands, mouth and eyes while wearing them. The inappropriate use of masks also may increase the risk of infection."
Is there a vaccine against the virus? ,"There are currently no vaccines against human coronaviruses, including the virus that causes COVID-19. This is why it is very important to prevent infection and to take measures to contain further spread of the virus."
How long will it take to develop a vaccine?,"The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take months or years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy.  These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people."
Am I protected against COVID-19 if I had the influenza vaccine this year?,Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.
What is the situation in Europe at the moment?,"In the last month, the number of cases and deaths reported in the EU/EEA has increased exponentially from less than 2 000 cases to more than 350 000 (as of 30 March). During this time, all EU/EEA countries have reported increasing numbers of new cases; Italy has reported more than 90 000 new cases and Spain more than 75 000 new cases. If this trend continues, based on the quick pace of growth of the epidemic observed in China and northern Italy, it is likely that in days, or a small number of weeks, nationally incapacitating epidemics will be observed in most EU/EEA Member States."
How prepared is Europe for COVID-19? ,"The outbreak of COVID-19 has evolved dramatically in the EU/EEA and the UK. The rapid escalation of cases in countries such as Italy and Spain has placed enormous pressure on healthcare systems, and presented a major challenge for local services. All countries in the EU have responded to the emerging situation. The situation continues to evolve and lessons are still being learnt and countries are working hard to adapt their response to the ever changing situation."
What is the EU doing?,"The European Centre for Disease Prevention and Control (ECDC) is in continuous contact with the European Commission and the World Health Organization (WHO) regarding the assessment of this outbreak. 

To inform the European Commission and the public health authorities in Member States of the ongoing situation, ECDC publishes daily updates and continuously assesses the risk for EU citizens. ECDC and WHO develop technical guidance to support countries in their response. The European Commission is ensuring the coordination of risk management activities at EU level."
Am I at risk of contracting COVID-19 infection in the EU?,"This outbreak is evolving rapidly. ECDC is continuously assessing the risk for EU citizens and the risk assessment is changing accordingly. As this is a new virus, most people do not have any immunity that can safeguard against infection.

You can find the latest information in the daily situation update and the regular ECDC risk assessment."
How many people have been infected in the EU/EEA?,"COVID-19 is spreading rapidly worldwide, and the number of cases in Europe is increasing exponentially in many affected areas.

See the ECDC daily situation update for the latest available numbers."
How long will this outbreak last? When will we see the peak?,"Any predictions about when the peak will come and how long the outbreak will last are purely speculative at this stage. As greater evidence emerges regarding the nature of the virus and the effectiveness of measures used to control the outbreak, predictions relating to the future course of COVID-19 will become more reliable."
Should schools and day centres be closed?,"The evidence we have to date indicates that COVID-19 does not cause serious illness in children – not nearly as much as it does for adults. However, they can be infected as easily as adults, though the extent to which children play a role in the transmission of the virus to others is still uncertain.

Depending on local circumstances, local authorities may decide to temporarily close schools and day care centres to reduce transmission in the community. However, school closures may have an impact on availability of healthcare staff and other essential services, due to the need for having to  care for their children when not in school, which needs to be taken into consideration (e.g. some countries only maintain schooling for these children of staff in a critical role). Also, if grandparents are asked to care for the children, the benefits of lower transmission between children might be offset by transmission into a more vulnerable population group. Wherever school closure happens, it is important that parents and caregivers are supported, for example by their employers applying teleworking or limited office shift schedules, so they can stay at home more and take care of their children."
Where can I learn more about the situation and the guidelines from my country?,"Each EU/EEA country and the UK have dedicated websites with information for the public on COVID-19 and on the national situation.

Consult with your national authorities to get advice tailored for your setting. "
What are the travel restrictions in the European Union?,"Travel has been shown to facilitate the spread of COVID-19 from affected to unaffected areas. Travel and trade restrictions during a public health event of international concern (PHEIC) are regulated under the International Health Regulations (IHR), part III.

On 16 March, in an effort to slow the spread of the coronavirus, the European Union leaders agreed to a temporary restriction on non-essential travel from third countries into the EU area by closing its borders for the next 30 days staring on 17 March 2020 The temporary travel restriction foresees exemptions for nationals of all EU Member States and Schengen Associated States (Iceland, Liechtenstein, Norway and Switzerland; whilst UK nationals are still to be treated in the same way as EU citizens until end 2020), for the purposes of returning to their homes. Exceptions are also foreseen for travellers with an essential function or need.

In addition, most EU countries have also applied national borders closure and/or border checks and travel and transport restrictions or bans within their national borders and between different regions as a measure to slow the spread. See the measures implemented by EU Member States.

Mobility measures implemented or announced by Member States

Many EU countries have also encouraged their citizens to return home (with recommendations  for 14 days self-quarantine upon return) but also recommended that travellers avoid non-essential travels to areas with transmission of COVID-19."
What precautions should I take if I need to travel?,"Travellers should adhere to strict hygiene measures, wash hands with soap and water regularly, and/or use alcohol-based hand sanitisers. Touching the face with unwashed hands should be avoided. Travellers should avoid contact with sick persons, in particular those with respiratory symptoms and fever. It should be emphasised that older people and those with underlying health conditions should take these precautionary measures very seriously. Travellers who develop any symptoms during or after travel should self-isolate; those developing acute respiratory symptoms within 14 days upon return should be advised to seek immediate medical advice, ideally by phone first to their national healthcare provider."
What is the risk of infection when travelling by plane?,"The risk of being infected on an airplane cannot be excluded, but is currently considered to be low for an individual traveller. The risk of being infected in an airport is similar to that of any other place where many people gather. If it is established that a COVID-19 case has been on an airplane, other passengers who were at risk (as defined by how near they were seated to the infected passenger) will be contacted by public health authorities. Should you have questions about a flight you have taken, please contact your local health authority for advice. 

The European Union Aviation Safety Agency (EASA) recommended measures to be taken by national authorities, such as thorough disinfecting and cleaning of aircraft after each flight serving high-risk destinations. EASA also recommended that airlines operating on all routes step up the frequency of cleaning, disinfect as a preventative measure and ensure full disinfection of any aircraft which has carried a passenger who was suspected or confirmed as being infected with COVID-19. Airport operators should similarly disinfect terminals regularly."
 Why are people not being checked for COVID-19 at the airport when arriving from areas of local or community transmission?,"There is evidence that checking people at the airport by reading their skin temperature (known as entry screening) is not very effective in preventing the spread of the virus, especially when people do not have symptoms. It is generally considered more useful to provide those arriving at airports with clear information explaining what to do if they develop symptoms after arrival."
What is the risk of getting COVID-19 from packages delivered through the postal system?,"A recent study published by The New England Journal of Medicine (NEJM) reported that the causal agent of COVID-19 (SARS-CoV-2) is able to persist for up to 24 hours on cardboard, in experimental settings (e.g. controlled relative humidity and temperature). In practice however there is no evidence of the infection ever being transmitted through contaminated packages that are exposed to different environmental conditions and temperatures.'"
"Are people working in the supply chain including logistics, control services, retail, etc. at risk of getting COVID-19 by handling packages? What measures can be taken to reduce the risk of getting infected in this type of work setting?","People working in the supply chain, including logistics, control services, retail, etc. are not at greater risk to of getting COVID-19 as a result of managing packages. ECDC does not recommend any special measures at the supply chain over and above those addressed to the general public: frequent and thorough hand washing and use of alcohol-based hand disinfectants, keeping a distance from other employees, and not working if showing signs of respiratory symptoms."
Are couriers at risk of getting COVID-19 by handling packages? What measures can be taken to reduce the risk of getting infected in this type of work setting?,"People working as couriers are not at greater risk of getting COVID-19 as a result of managing packages. Couriers delivering packages at homes are advised to keep a distance from the customer, use alcohol-based hand disinfectant frequently (and always before and after contact with a customer), and avoid working if showing signs of respiratory symptoms."
What is the risk of COVID-19 infection from food products imported from affected areas?,"There has been no report of transmission of COVID-19 via food, and therefore there is no evidence that food items imported into the European Union in accordance with the applicable animal and public health regulations pose a risk for the health of EU citizens in relation to COVID-19. The main mode of transmission is from person to person."
What is the risk of COVID-19 infection from animals or animal products imported from affected areas?,There is no evidence that any of the animals or animal products authorised for entry into the European Union pose a risk to the health of EU citizens as a result of the presence of COVID-19.
What is the risk of COVID-19 infection from contact with pets and other animals in the EU?,"Current research links COVID-19 to certain types of bat as the original source, but does not exclude the involvement of other animals. Several types of coronaviruses can infect animals and can be transmitted to other animals and people. There is no evidence that companion animals (e.g. dogs or cats) pose a risk of infection to humans, however there is one report from Hong Kong of a pet dog that had positive swabs and showed serological evidence that it was likely infected by its owner who got COVID-19. As a general precaution, it is always wise to observe basic principles of hygiene when in contact with animals."
Do schools remain open?,"Lessons will be cancelled (nursery/ primary/ secondary) as well as extracurricular activities. Schools ensure the reception of children, organised exclusively by the internal staff. "
Can new initiatives to organize the care of children be organized?,"No, only organization already in place can pursue their activities. New initiatives beyond existing contacts are forbidden."
Are companies allowed to take initiatives for the care of children of their employees?,"If such care systems already existed, they can continue. However, no new childcare initiatives can be set up. It is necessary to avoid putting together children who did not come into contact with each other beforehand."
How can I organize the reception of my children if I have to go to work?,"It is not advisable to entrust children to the elderly, who are among the groups vulnerable to coronavirus. However, you can entrust your children to another member of your family, to a relative, to your children’s school which will organise the reception or to an independent carer. All solutions that do not involve vulnerable people are acceptable."
Are nurseries open?,"Yes, nurseries and child minders remain open for children up to 3 years old."
How can child minders apply social distancing?,The necessary hygienic measures have to be followed but social distancing is difficult with regard to children. Social distancing measures do however have to be strictly observed by parents. It is true that groups of children from the same crèche are often seen as a uniform whole.
What about children of (possibly) infected parents?,"If the parent is suspected of being infected, the children must stay at home. Young children show hardly any symptoms if infected, and only become ill in exceptional cases, although they pass on the disease, which is why it is requested that they are kept at home."
What about higher education institutions?,Universities and higher education institutions organize distance learning.
What about university students' exams?,This will be determined after a new evaluation of the situation.
Are evening courses or continuing education establishments continuing to operate?,Evening classes and continuing education must also develop distance learning solutions.
Are special education establishments and boarding schools open?,"The boarding schools and special needs education remain open, but the lessons are cancelled."
Will schools for security professions be closed?,"Schools for security professions continue primary education through remote classes, or help the crisis effort by providing training-on-the-job."
Can my handicapped child still go to the day care center?,"Yeah, they stay open."
When can I go outside?,"Yeah, they stay open."
You’re expected to stay home as much as possible. You’re only allowed to come out if necessary for the following things:  ,"Yeah, they stay open."
What can I do myself?,"You have to respect the general hygiene measures and to keep a distance of at least 1.5 meter with other people, except for members of a family living under the same roof. For example, by always leaving a free seat between two people during a necessary meeting. You have to avoid putting a mix of different ages in the same place."
Do administrative services remain open?,"Administrations must continue to function in order to guarantee their services, subject to social distancing measures and/or teleworking where possible. The public administrations must inform the public about the possibilities of obtaining documents and information via alternative channels (online). The administration must give preference to these alternative channels to limit the number of journeys made."
Is door-to-door collection of household waste allowed to continue?,"Yes, the various waste collections (residual waste, green waste, paper and cardboard and PMD) can continue. Collection of scrap iron can also be continued with respect for social distance."
Are the recycling parks closed?,The rules for container parks can be found on the websites of the regions concerned.
Will I get any mail?,"Yes, the mailmen will keep delivering your letters."
Can I still go to the library?,Libraries are considered to be a public service and must be guaranteed to remain open in a collection function with respect for social distancing measures.
"Can we make trips to bottle banks, clothing containers, underground containers for glass and PMD?","Yes, that is allowed."
Should provincial domains be closed?,"The recreational areas of these domains must be closed (e.g. playgrounds, etc.). However, parks and woodland can remain open, subject to social distancing measures. This must be supervised."
Can road works and utilities in general still go ahead?,"Yes, subject to social distancing measures."
Are the municipal and provincial councils continuing?,"Yes, insofar as the agenda items cannot be postponed and if the meeting cannot take place virtually."
"Do the CPASs fall under 'the institutions for care, reception and assistance for elderly persons, for minors, for disabled persons and for vulnerable persons'?",Yes. A CPAS provides essential services.
Does the CPAS service have to continue organising food distribution or not?,"Yes, subject to social distancing measures, this falls under health care."
Are enterprise counters allowed to remain open?,"They must organise themselves remotely as much as possible and if absolutely necessary they can open, subject to social distancing measures."
Are there specific provisions for public toilets and hygiene?,"For reasons of public order and hygiene, we recommend that you leave these open or provide an alternative. The municipality must take the necessary hygienic measures."
Do the Local Reception Initiatives (LOIs) fall under 'asylum and migration services including asylum reception and detention in the context of forced return'?,Yes.
Can the public services still clean up fly tipping in public areas?,"Yes, this is important in the context of hygiene. Citizens’ initiatives are not allowed."
Are private litter cleaning actions still allowed?,"No, we encourage people not to drop litter on the street. Of course, litter cleaning actions do not fall under essential travel."
Is the detection and disposal of explosives on the coast covered by the prohibition?,This is permitted because it falls under safeguarding public safety.
"Will call centres for people in need (suicide, domestic violence, etc.) remain available?","Yes, they will. They have to respect general hygiene and social distancing."
"There's a cell phone mast on my private property, on top of the hospital... Should I give the operators' maintenance teams access to these antennas?","Yes, it is essential that the electronic communications are maintained and that the operators can do all the necessary maintenance."
Will stores stay open?,"All shops are closed except:All shops are closed except:Food shops, including night shops (until 22h)Shops selling pet foodPharmaciesNewspaper shopsGas stationsShops with basic facilities for newbornsAll other stores (clothing stores, appliance stores, DIY stores, tobacco stores, stationery stores, perfume stores, drugstores, furniture stores, toy stores, printers, car-wash,…) are closed but are encouraged to continue their activities by phone or online, if they can guarantee home deliveries. For these businesses, delivery within the store itself is not allowed."
What does 'food shops' cover?,"Only shops and catering establishments (horeca) that primarily sell food products may remain open, if:"
"Only shops and catering establishments (horeca) that primarily sell food products may remain open, if:","Only shops and catering establishments (horeca) that primarily sell food products may remain open, if:"
What about shops selling both food and non-food products?,"The Ministerial Order of 23/03/2020 authorises food shops, night shops and pet food shops to remain open. Food shops (for humans and animals) that also offer non-food as a secondary product (e.g. stationery) will remain open and may continue to sell any stationery products. Butchers, bakeries, chocolatiers, ice-cream shops, delicatessens, wine shops and shops selling alcoholic beverages may also remain open, provided they do not offer tasting on site. Shops that offer food only as a secondary product must close. All other shops (clothes shops, electrical shops, DIY shops, tobacconists, stationery shops, perfumeries, chemists, furniture shops, toy shops, photographers, carwashes, etc.) must close, but these shops may, if possible, continue their telephone and online activities if home delivery can be guaranteed. Collections or takeaways from shops are not allowed. Shops with basic facilities for newborns may remain open."
"The Ministerial Order of 23/03/2020 authorises food shops, night shops and pet food shops to remain open. Food shops (for humans and animals) that also offer non-food as a secondary product (e.g. stationery) will remain open and may continue to sell any stationery products. Butchers, bakeries, chocolatiers, ice-cream shops, delicatessens, wine shops and shops selling alcoholic beverages may also remain open, provided they do not offer tasting on site. Shops that offer food only as a secondary product must close. All other shops (clothes shops, electrical shops, DIY shops, tobacconists, stationery shops, perfumeries, chemists, furniture shops, toy shops, photographers, carwashes, etc.) must close, but these shops may, if possible, continue their telephone and online activities if home delivery can be guaranteed. Collections or takeaways from shops are not allowed. Shops with basic facilities for newborns may remain open.","The Ministerial Order of 23/03/2020 authorises food shops, night shops and pet food shops to remain open. Food shops (for humans and animals) that also offer non-food as a secondary product (e.g. stationery) will remain open and may continue to sell any stationery products. Butchers, bakeries, chocolatiers, ice-cream shops, delicatessens, wine shops and shops selling alcoholic beverages may also remain open, provided they do not offer tasting on site. Shops that offer food only as a secondary product must close. All other shops (clothes shops, electrical shops, DIY shops, tobacconists, stationery shops, perfumeries, chemists, furniture shops, toy shops, photographers, carwashes, etc.) must close, but these shops may, if possible, continue their telephone and online activities if home delivery can be guaranteed. Collections or takeaways from shops are not allowed. Shops with basic facilities for newborns may remain open."
What are the specific measures applicable to shops that remain open?,"The Ministerial Order of 23/03/2020 authorises food shops, night shops and pet food shops to remain open. Food shops (for humans and animals) that also offer non-food as a secondary product (e.g. stationery) will remain open and may continue to sell any stationery products. Butchers, bakeries, chocolatiers, ice-cream shops, delicatessens, wine shops and shops selling alcoholic beverages may also remain open, provided they do not offer tasting on site. Shops that offer food only as a secondary product must close. All other shops (clothes shops, electrical shops, DIY shops, tobacconists, stationery shops, perfumeries, chemists, furniture shops, toy shops, photographers, carwashes, etc.) must close, but these shops may, if possible, continue their telephone and online activities if home delivery can be guaranteed. Collections or takeaways from shops are not allowed. Shops with basic facilities for newborns may remain open."
What are the permitted opening hours for the shops that remain open?,"The Ministerial Order provides for a change in opening hours. Before the corona crisis, shops were allowed to remain open until 8.00pm (and 9.00pm on Friday evening). These shops can now remain open until 10.00pm. Shops open at 7 o’clock, also for example bakeries who used to open at 6 o’clock now have to open at 7 o’clock. Night shops may be open between their usual opening hours and 10.00pm. The Board of Mayor and Aldermen may, for special and temporary circumstances, grant a derogation from the opening hours to the shop units located within the territory of the municipality or city. This must be at the request of the shopkeepers in question and for a maximum of 15 days per year."
Can the weekly closing day for food shops be changed?,Food retailers must remain closed on their weekly closing day. The Ministerial Order of 23/3/2020 does not provide for a lifting of the obligation of a weekly closing day. Night shops also have to respect their weekly closing day.
Can an obligation be imposed to keep shops open?,"If public order or the general interest so requires, the mayor can order the necessary police measures, including the opening of businesses."
"Can security services be called in to monitor and secure the food chain, supplies and retail?",Yes. Private and special security services are part of the crucial sectors and essential services listed in the Annex to the Ministerial Order of 23 March 2020.
Do we need to build up a food supply?,This is unnecessary. Food stores continue to be stocked in a normal way and remain open as usual.
Can I buy enough medicines?,"Yes, there are no problems with the supply of medicines. To prevent hoarding, you only get 1 box of medicines containing paracetamol, unless a medical prescription states otherwise."
Can you pay with cash?,"Electronic payments are encouraged. Cash money is not infected, but by paying electronically allows you to respect the social distance."
What other measures are planned to prevent stockpiling?,E-commerce and collection at pick-up points is being encouraged. Exorbitant prices can be reported at https://meldpunt.belgie.be/meldpunt/en/welcome
What is the situation with the legal guarantee on consumer goods?,"There is no exception to the usual rules in this type of situation: the consumer must inform the seller of the defect (mail, e-mail, etc.) as soon as possible and not make it worse. The consumer will therefore be able to prove that the problem occurred during this exceptional period and that they have taken the necessary steps to inform the seller as required. Even if they have not been able to receive the information because of a closure due to the coronavirus, the seller cannot invoke the fact that the legal term has expired and refuse to take action. From that moment on, the warranty period will in principle be suspended until the seller offers a solution (repair or replacement)."
Are volunteers allowed to offer their services to food shops?,"According to the Volunteer Act of 3 July 2005, volunteers can in principle only be deployed by organisations that pursue a not-for-profit objective. The Volunteer Act does not allow volunteer work for commercial enterprises."
Do cafes and restaurants remain open?,"Cafés, nightlife and party rooms must close. Restaurants must close their dining rooms. The ban also applies to the terraces of these establishments. Company restaurants must also close. Terrace furniture must be brought in."
Can we still pick up and order food?,"Restaurants that offer home delivery, a catering service or drive-in are allowed to open their kitchens. When you pick up food, you have to respect the social distance rules."
Will chip shops and sandwich shops remain open?,"Snack bars, sandwich shops, chip shops… stay open. Care must be taken to avoid long queues and have them outside. Eating there is forbidden, also on the terraces of these establishments."
"Are food trucks, kiosks and food stands allowed?",Food trucks should be equated with food stalls on the market. They therefore cannot stay open. A mobile seller of roast chicken is considered a food truck.
Are hotels open?,"To respond to the need of accommodation in case of an essential trip, hotels remain open without access to a bar, restaurant, common rooms and recreational areas. Hotel meeting rooms are closed."
Can hotel restaurants stay open?,"A hotel’s kitchen can stay open but its restaurant must close, so it can offer room service."
What about other types of accommodation?,"Holiday homes, campsites, B&B’s, holiday parks, AirBnB’s have to close for tourism. The permanent residents of this type of accommodation may, of course, continue to live here."
"Various holiday parks and cottages are being used as permanent accommodation for employees of Electrabel for essential services (offshore wind farms, Doel, Tihange, etc.). Are there any exceptions to this?",Permanent residents who have their permanent home there are allowed to stay.
What about caravan sites?,"Permanent residents are allowed to stay. However, travelling to another site is not an essential journey, so we advise the mayor to take the necessary steps to facilitate the stay of these people until the end of the crisis."
"Can e-commerce traders continue to work if they are not considered essential (e.g. clothes, birth listing, perfumery,…)?","Yes, they can continue their activities if they respect social distance. Home delivery is preferred, without entering the home. Collection at official collection points is allowed."
Can I still order parcels online?,"Yes, online shops remain open and can continue to deliver. The delivery of your parcel is contactless."
"Can home delivery services (Bpost, DHL, etc.) continue to work?","Yes, in fact this is encouraged, subject to social distancing measures. Collections from official pick-up points are permitted."
