title,question,context,text,Source,Source URL,Organization,Country,Last Retrieved Time
, Can I go to a place of worship?,,"Religious services are not permitted. However, you may visit a place of worship if you are alone.

If you still come into contact with other people, keep at least two metres apart, and follow the rules on hygiene and social distancing.",,,,,
, Can I organise an Annual General Meeting or attend one?,,"No, neither is possible. AGMs at which delegates attend in person are prohibited; if one is to go ahead, special authorisation must be obtained from the relevant cantonal authority. There is no problem however if delegates exercise their rights in writing or electronically, or through an independent shareholder proxy designated by the organiser.",,,,,
, Can I still take my driving lessons?,,"No, driving lessons are not allowed.",,,,,
, Are taxi firms and other private transport services also covered by the ban?,,"No, they can continue to operate. But the FOPH’s rules must be strictly adhered to including maintaining an appropriate distance between people.",,,,,
, Establishments providing personal services involving physical contact have to close. Which businesses are affected and which aren’t?,,"Service providers affected include hairdressers, massage and tattoo parlours, cosmetic studios and driving schools. Establishments offering only advisory services are not included. In going about their business, all these establishments must follow the FOPH’s recommendations. Rules on hygiene must be adhered to and people must keep sufficient distance from one another",,,,,
, What is the situation regarding stores that also stock products other than everyday items? Do sections containing non-essential items have to be blocked off?,,"Stores with assorted product ranges may only sell items for everyday use. Sections containing other products must be closed or blocked off wherever possible. Large retailers with flower shops in their stores must block these off and close them. Department stores with food sections on the ground floor or in the basement, for example, may stay open, but all other floors must remain closed.

Where stores offer a large blend of  products in the same section, the store must undertake practicable measures to ensure that non-essential items are blocked off, e.g.  large areas with perfumes and the like in drug stores, toy or clothes sections in supermarkets. These types of product may no longer be sold. The store must block off such sections or cover the shelves.",,,,,
, Can bakeries and butchers also stay open?,,"Yes, these are considered food stores and therefore do not have to close. However, bakeries may only sell goods over the counter. If they have a café section, that must remain closed.",,,,,
, Are commercial enterprises covered by the ban?,,"Commercial enterprises not accessible to the public, do not have to close and can continue to operate.

Commercial enterprises accessible to the public, must close those parts accessible to the public, e.g. electrical stores or garden centres.",,,,,
, What are the rules for construction sites?,,"Construction sites are not affected by the new rules and do not have to close. However, the rules on hygiene and social distancing must be respected. If this is not possible in the normal course of operation, the following measures must be taken:

Number of workers on site must be limited
Way in which construction site and operations are organised must be adapted
Gatherings of more than five people in canteen/rest area must be prevented (more than five people can still be present in large canteens as long as they keep their distance)
These measures are likely to complicate the construction process. However, construction site operators must take this into account given the need to reduce the risk of transmitting the virus. If workers are unable to adhere to the rules on hygiene and social distancing despite these measures, the relevant cantonal authorities may decide to shut down the site.",,,,,
," Are internal meetings allowed? If so, under what conditions?",,"Internal meetings are still allowed. But those attending the meeting must follow the rules on hygiene and social distancing (i.e. washing hands, not shaking hands, keeping a distance). As a guideline roughly 4m",,,,,
, What rules apply to the hospitality and catering industry?,,"Restaurants serving guests on the premises must close. The following catering outlets may continue to operate:

Snack bars (without seating) such as:
Take away establishments
Food trucks
Establishments from which meals can be ordered for collection
Staff canteens
Meal delivery services
Restaurants serving hotel guests",,,,,
